timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gnss_valid,gnss_lat,gnss_lon,gnss_alt,true_pos_x,true_pos_y,true_pos_z,true_vel_x,true_vel_y,true_vel_z,is_stopped
0.0000,3.06438,0.00680,9.91669,0.00952,-0.01861,-0.00542,1,28.6139013,77.2089987,216.32,0.0012,0.0000,0.0000,0.0600,0.0000,0.0000,0
0.0200,3.00605,-0.16687,9.93745,-0.00482,0.00404,0.01122,1,28.6139019,77.2089948,215.79,0.0036,0.0000,0.0000,0.1200,0.0000,0.0000,0
0.0400,3.12743,0.14766,10.01381,-0.00487,-0.00005,-0.00267,1,28.6138935,77.2089983,216.83,0.0072,0.0000,0.0000,0.1800,0.0000,0.0000,0
0.0600,3.00170,-0.08509,9.93432,-0.00345,0.00678,0.00376,1,28.6139105,77.2090179,214.72,0.0120,0.0000,0.0000,0.2400,0.0000,0.0000,0
0.0800,3.12550,-0.05064,9.91427,0.00492,0.00030,0.00845,1,28.6138826,77.2089868,215.32,0.0180,0.0000,0.0000,0.3000,0.0000,0.0000,0
0.1000,3.09721,-0.02543,9.74514,-0.00451,0.00193,0.01403,1,28.6138890,77.2089930,215.61,0.0252,0.0000,0.0000,0.3600,0.0000,0.0000,0
0.1200,3.12335,-0.17370,9.67282,0.00720,0.00295,0.00935,1,28.6138999,77.2090108,216.37,0.0336,0.0000,0.0000,0.4200,0.0000,0.0000,0
0.1400,2.92895,0.09373,9.76467,0.00375,0.00397,0.00679,1,28.6139070,77.2089906,215.21,0.0432,0.0000,0.0000,0.4800,0.0000,0.0000,0
0.1600,3.10935,-0.14365,9.84994,0.00705,-0.01466,0.00244,1,28.6138941,77.2090069,216.52,0.0540,0.0000,0.0000,0.5400,0.0000,0.0000,0
0.1800,3.03221,0.03512,9.89245,0.01396,-0.00993,0.01275,1,28.6138957,77.2089894,216.34,0.0660,0.0000,0.0000,0.6000,0.0000,0.0000,0
0.2000,2.83484,-0.15387,9.98380,0.00669,0.00269,0.01135,1,28.6138964,77.2090128,216.70,0.0792,0.0000,0.0000,0.6600,0.0000,0.0000,0
0.2200,3.11342,-0.00269,10.03387,0.00047,-0.01321,-0.00407,1,28.6138860,77.2089889,215.35,0.0936,0.0000,0.0000,0.7200,0.0000,0.0000,0
0.2400,2.84857,-0.01271,9.91222,0.00752,-0.00642,0.00627,1,28.6139135,77.2090045,215.42,0.1092,0.0000,0.0000,0.7800,0.0000,0.0000,0
0.2600,3.20792,-0.07723,9.84902,-0.00330,-0.00590,0.00195,1,28.6138807,77.2089711,216.58,0.1260,0.0000,0.0000,0.8400,0.0000,0.0000,0
0.2800,2.84301,0.07326,9.71052,0.00210,0.00085,0.00857,1,28.6138879,77.2090028,215.88,0.1440,0.0000,0.0000,0.9000,0.0000,0.0000,0
0.3000,3.16377,-0.13496,9.70866,0.00136,-0.01650,-0.00658,1,28.6139157,77.2090091,215.52,0.1632,0.0000,0.0000,0.9600,0.0000,0.0000,0
0.3200,2.90434,0.00645,9.83082,-0.00524,-0.00603,0.01539,1,28.6139091,77.2090094,215.99,0.1836,0.0000,0.0000,1.0200,0.0000,0.0000,0
0.3400,2.99646,-0.09005,9.81180,0.00036,-0.01060,0.00229,1,28.6138996,77.2089895,217.29,0.2052,0.0000,0.0000,1.0800,0.0000,0.0000,0
0.3600,3.16504,-0.06303,9.99272,0.00390,-0.00775,-0.00657,1,28.6138889,77.2089995,215.87,0.2280,0.0000,0.0000,1.1400,0.0000,0.0000,0
0.3800,2.95331,-0.14885,9.99314,0.00217,0.00981,0.00309,1,28.6139145,77.2090040,216.13,0.2520,0.0000,0.0000,1.2000,0.0000,0.0000,0
0.4000,3.07225,0.02142,9.94478,0.01287,0.00368,0.00785,1,28.6138886,77.2089921,215.62,0.2772,0.0000,0.0000,1.2600,0.0000,0.0000,0
0.4200,3.03730,-0.11757,9.79043,-0.00541,-0.00612,-0.00601,1,28.6139030,77.2089927,216.38,0.3036,0.0000,0.0000,1.3200,0.0000,0.0000,0
0.4400,3.19939,-0.09887,9.64652,-0.00612,-0.00049,0.01171,1,28.6139145,77.2090044,216.16,0.3312,0.0000,0.0000,1.3800,0.0000,0.0000,0
0.4600,3.11759,0.29059,9.77004,-0.00592,-0.02006,0.00714,1,28.6138950,77.2090159,215.86,0.3600,0.0000,0.0000,1.4400,0.0000,0.0000,0
0.4800,3.01914,-0.17480,9.72554,0.00087,0.00553,0.00626,1,28.6138969,77.2090175,216.10,0.3900,0.0000,0.0000,1.5000,0.0000,0.0000,0
0.5000,3.02731,0.00715,9.72268,-0.00189,-0.00343,0.01914,1,28.6139049,77.2089995,216.33,0.4212,0.0000,0.0000,1.5600,0.0000,0.0000,0
0.5200,3.00625,-0.06295,9.89885,-0.00748,-0.01072,-0.00080,1,28.6138917,77.2090071,215.97,0.4536,0.0000,0.0000,1.6200,0.0000,0.0000,0
0.5400,3.29242,-0.00823,10.04349,-0.00522,0.00445,0.00808,1,28.6138903,77.2090030,216.62,0.4872,0.0000,0.0000,1.6800,0.0000,0.0000,0
0.5600,2.91889,-0.08435,9.89673,0.00557,-0.00664,-0.00480,1,28.6138915,77.2090086,216.89,0.5220,0.0000,0.0000,1.7400,0.0000,0.0000,0
0.5800,3.05753,-0.00866,9.99802,0.00328,-0.00395,0.00729,1,28.6139033,77.2090103,216.78,0.5580,0.0000,0.0000,1.8000,0.0000,0.0000,0
0.6000,3.03035,0.02463,9.75324,0.01085,0.00043,0.01729,1,28.6138895,77.2090025,216.41,0.5952,0.0000,0.0000,1.8600,0.0000,0.0000,0
0.6200,3.14712,-0.20445,9.62932,0.01521,0.01079,0.00356,1,28.6138898,77.2089917,215.77,0.6336,0.0000,0.0000,1.9200,0.0000,0.0000,0
0.6400,2.95153,0.19207,9.66677,-0.00516,0.00215,0.00184,1,28.6138948,77.2090051,215.28,0.6732,0.0000,0.0000,1.9800,0.0000,0.0000,0
0.6600,3.05463,-0.16213,9.85381,0.01326,-0.00228,0.01015,1,28.6139054,77.2090019,215.75,0.7140,0.0000,0.0000,2.0400,0.0000,0.0000,0
0.6800,2.90583,0.08233,9.84700,-0.00775,-0.01003,0.00233,1,28.6139187,77.2090164,216.36,0.7560,0.0000,0.0000,2.1000,0.0000,0.0000,0
0.7000,3.04274,-0.23319,9.97323,-0.00187,-0.00562,0.01302,1,28.6138992,77.2089981,216.45,0.7992,0.0000,0.0000,2.1600,0.0000,0.0000,0
0.7200,3.18437,0.14129,9.95287,-0.00357,-0.00479,0.00694,1,28.6138900,77.2090083,216.29,0.8436,0.0000,0.0000,2.2200,0.0000,0.0000,0
0.7400,2.93625,-0.13924,9.90806,0.00383,0.01714,0.02001,1,28.6139025,77.2090112,216.37,0.8892,0.0000,0.0000,2.2800,0.0000,0.0000,0
